127.0.0.1 - - [08/Nov/2023:22:57:40 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [08/Nov/2023:22:57:42 +0530] "GET /project_3/ HTTP/1.1" 200 723
0:0:0:0:0:0:0:1 - - [08/Nov/2023:22:57:42 +0530] "GET /project_3/img/Index.jpeg HTTP/1.1" 200 54518
0:0:0:0:0:0:0:1 - - [08/Nov/2023:22:57:42 +0530] "GET /project_3/img/custom.png HTTP/1.1" 200 17583
0:0:0:0:0:0:0:1 - - [08/Nov/2023:22:57:42 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [08/Nov/2023:22:57:45 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3765
0:0:0:0:0:0:0:1 - - [08/Nov/2023:22:57:45 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [08/Nov/2023:22:57:46 +0530] "GET /project_3/img/Class.jpeg HTTP/1.1" 200 103728
0:0:0:0:0:0:0:1 - - [08/Nov/2023:22:57:51 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7285
0:0:0:0:0:0:0:1 - - [08/Nov/2023:22:57:52 +0530] "GET /project_3/img/Book.jpeg HTTP/1.1" 200 72886
0:0:0:0:0:0:0:1 - - [08/Nov/2023:22:57:52 +0530] "GET /img/logo.png HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [08/Nov/2023:22:58:00 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 7532
0:0:0:0:0:0:0:1 - - [08/Nov/2023:22:58:00 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 7532
0:0:0:0:0:0:0:1 - - [08/Nov/2023:22:58:00 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 7532
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:00:52 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 7532
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:02:08 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 7532
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:02:10 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 7532
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:02:10 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 7532
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:06:38 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 7532
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:06:39 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 7532
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:06:40 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 7532
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:06:40 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 7532
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:06:40 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 7532
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:06:43 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7285
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:07:10 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 7532
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:22:21 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 7532
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:22:23 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 7532
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:29:13 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 7532
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:46:03 +0530] "POST /project_3/LoginCtl HTTP/1.1" 200 7532
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:53:26 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3765
0:0:0:0:0:0:0:1 - - [08/Nov/2023:23:53:26 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
