127.0.0.1 - - [18/Dec/2023:13:08:22 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [18/Dec/2023:13:08:25 +0530] "GET /project_3/ HTTP/1.1" 200 829
0:0:0:0:0:0:0:1 - - [18/Dec/2023:13:08:25 +0530] "GET /project_3/img/mahabharat.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2023:13:08:51 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3767
0:0:0:0:0:0:0:1 - - [18/Dec/2023:13:08:51 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2023:13:08:51 +0530] "GET /project_3/img/arjun.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Dec/2023:13:27:48 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3767
0:0:0:0:0:0:0:1 - - [18/Dec/2023:13:27:48 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2023:13:27:56 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7294
0:0:0:0:0:0:0:1 - - [18/Dec/2023:13:27:56 +0530] "GET /img/logo.png HTTP/1.1" 404 767
0:0:0:0:0:0:0:1 - - [18/Dec/2023:13:28:06 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Dec/2023:13:28:06 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11720
0:0:0:0:0:0:0:1 - - [18/Dec/2023:13:28:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2023:13:28:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2023:13:28:11 +0530] "POST /project_3/UserRegistrationCtl HTTP/1.1" 200 11881
0:0:0:0:0:0:0:1 - - [18/Dec/2023:13:28:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2023:13:28:11 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2023:13:28:15 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11720
0:0:0:0:0:0:0:1 - - [18/Dec/2023:14:20:03 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3767
0:0:0:0:0:0:0:1 - - [18/Dec/2023:14:20:03 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2023:14:20:12 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3767
0:0:0:0:0:0:0:1 - - [18/Dec/2023:14:20:12 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2023:14:20:15 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3767
0:0:0:0:0:0:0:1 - - [18/Dec/2023:14:20:15 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2023:14:20:16 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3767
0:0:0:0:0:0:0:1 - - [18/Dec/2023:14:20:16 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2023:14:20:52 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7294
0:0:0:0:0:0:0:1 - - [18/Dec/2023:14:21:21 +0530] "GET /project_3/ForgetPasswordCtl HTTP/1.1" 200 5703
0:0:0:0:0:0:0:1 - - [18/Dec/2023:14:21:27 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11720
0:0:0:0:0:0:0:1 - - [18/Dec/2023:14:21:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2023:14:21:27 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2023:14:24:06 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11688
0:0:0:0:0:0:0:1 - - [18/Dec/2023:14:24:07 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11688
0:0:0:0:0:0:0:1 - - [18/Dec/2023:14:24:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2023:14:24:07 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2023:14:25:19 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2023:16:16:17 +0530] "GET /project_3/UserRegistrationCtl HTTP/1.1" 200 11720
0:0:0:0:0:0:0:1 - - [18/Dec/2023:16:16:17 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2023:16:16:18 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2023:17:00:06 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3767
0:0:0:0:0:0:0:1 - - [18/Dec/2023:17:00:06 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2023:17:00:10 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7294
0:0:0:0:0:0:0:1 - - [18/Dec/2023:21:42:30 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 3767
0:0:0:0:0:0:0:1 - - [18/Dec/2023:21:42:30 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2023:21:42:33 +0530] "GET /project_3/LoginCtl HTTP/1.1" 200 7294
0:0:0:0:0:0:0:1 - - [18/Dec/2023:21:42:40 +0530] "POST /project_3/LoginCtl HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/Dec/2023:21:42:40 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9852
0:0:0:0:0:0:0:1 - - [18/Dec/2023:21:42:40 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2023:21:42:44 +0530] "GET /project_3/ctl/UserListCtl HTTP/1.1" 200 18240
0:0:0:0:0:0:0:1 - - [18/Dec/2023:21:42:59 +0530] "GET /project_3/WelcomeCtl HTTP/1.1" 200 9852
0:0:0:0:0:0:0:1 - - [18/Dec/2023:21:42:59 +0530] "GET /resources/demos/style.css HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [18/Dec/2023:21:43:03 +0530] "GET /project_3/LoginCtl?operation=logout HTTP/1.1" 200 7509
